year,month,decimal date,average,interpolated,trend,ndays
2007,12,2007958,383.94,383.94,384.83,21
2008,1,2008042,385.52,385.52,385.28,31
2008,2,2008125,385.82,385.82,384.96,26
2008,3,2008208,386.03,386.03,384.48,30
2008,4,2008292,387.21,387.21,384.58,24
2008,5,2008375,388.54,388.54,385.45,25
2008,6,2008458,387.76,387.76,385.46,23
2008,7,2008542,386.37,386.37,385.80,10
2008,8,2008625,384.09,384.09,385.75,25
2008,9,2008708,383.18,383.18,386.46,27
2008,10,2008792,382.99,382.99,386.27,23
2008,11,2008875,384.19,384.19,386.37,28
2008,12,2008958,385.56,385.56,386.41,29
2009,1,2009042,386.94,386.94,386.63,30
2009,2,2009125,387.48,387.48,386.59,26
2009,3,2009208,388.82,388.82,387.32,28
2009,4,2009292,389.55,389.55,386.92,29
2009,5,2009375,390.14,390.14,387.02,30
2009,6,2009458,389.48,389.48,387.24,29
2009,7,2009542,388.03,388.03,387.55,22
2009,8,2009625,386.11,386.11,387.80,27
2009,9,2009708,384.74,384.74,388.01,28
2009,10,2009792,384.43,384.43,387.68,30
2009,11,2009875,386.02,386.02,388.16,30
2009,12,2009958,387.42,387.42,388.23,20
2010,1,2010042,388.71,388.71,388.41,30
2010,2,2010125,390.20,390.20,389.26,20
2010,3,2010208,391.17,391.17,389.65,25
2010,4,2010292,392.46,392.46,389.89,26
2010,5,2010375,393.00,393.00,389.88,28
2010,6,2010458,392.15,392.15,389.89,28
2010,7,2010542,390.20,390.20,389.72,29
2010,8,2010625,388.35,388.35,390.01,26
2010,9,2010708,386.85,386.85,390.14,29
2010,10,2010792,387.24,387.24,390.53,31
2010,11,2010875,388.67,388.67,390.79,28
2010,12,2010958,389.79,389.79,390.60,29
2011,1,2011042,391.33,391.33,391.03,29
2011,2,2011125,391.86,391.86,390.94,28
2011,3,2011208,392.60,392.60,391.07,29
2011,4,2011292,393.25,393.25,390.63,28
2011,5,2011375,394.19,394.19,391.02,30
2011,6,2011458,393.74,393.74,391.44,28
2011,7,2011542,392.51,392.51,392.03,26
2011,8,2011625,390.13,390.13,391.83,27
2011,9,2011708,389.08,389.08,392.40,26
2011,10,2011792,389.00,389.00,392.33,31
2011,11,2011875,390.28,390.28,392.44,28
2011,12,2011958,391.86,391.86,392.66,28
2012,1,2012042,393.12,393.12,392.89,30
2012,2,2012125,393.86,393.86,393.04,26
2012,3,2012208,394.40,394.40,392.80,30
2012,4,2012292,396.18,396.18,393.43,29
2012,5,2012375,396.74,396.74,393.54,30
2012,6,2012458,395.71,395.71,393.45,28
2012,7,2012542,394.36,394.36,393.92,26
2012,8,2012625,392.39,392.39,394.17,30
2012,9,2012708,391.11,391.11,394.54,27
2012,10,2012792,391.05,391.05,394.41,28
2012,11,2012875,392.98,392.98,395.02,29
2012,12,2012958,394.34,394.34,395.04,29
2013,1,2013042,395.55,395.55,395.40,28
2013,2,2013125,396.80,396.80,396.01,25
2013,3,2013208,397.43,397.43,395.84,30
2013,4,2013292,398.41,398.41,395.53,22
2013,5,2013375,399.78,399.78,396.40,28
2013,6,2013458,398.60,398.60,396.28,26
2013,7,2013542,397.32,397.32,396.92,21
2013,8,2013625,395.20,395.20,397.08,27
2013,9,2013708,393.45,393.45,396.99,27
2013,10,2013792,393.70,393.70,397.04,28
2013,11,2013875,395.16,395.16,397.15,30
2013,12,2013958,396.84,396.84,397.59,30
2014,1,2014042,397.85,397.85,397.55,31
2014,2,2014125,398.01,398.01,397.21,26
2014,3,2014208,399.77,399.77,398.24,24
2014,4,2014292,401.38,401.38,398.49,28
2014,5,2014375,401.78,401.78,398.37,22
2014,6,2014458,401.25,401.25,398.93,28
2014,7,2014542,399.10,399.10,398.67,25
2014,8,2014625,397.03,397.03,398.92,21
2014,9,2014708,395.38,395.38,398.97,21
2014,10,2014792,396.03,396.03,399.44,24
2014,11,2014875,397.28,397.28,399.36,27
2014,12,2014958,398.91,398.91,399.64,29
2015,1,2015042,399.98,399.98,399.73,30
2015,2,2015125,400.28,400.28,399.52,27
2015,3,2015208,401.54,401.54,400.03,24
2015,4,2015292,403.28,403.28,400.38,27
2015,5,2015375,403.96,403.96,400.51,30
2015,6,2015458,402.80,402.80,400.48,28
2015,7,2015542,401.31,401.31,400.94,23
2015,8,2015625,398.93,398.93,400.85,28
2015,9,2015708,397.63,397.63,401.26,25
2015,10,2015792,398.29,398.29,401.69,28
2015,11,2015875,400.16,400.16,402.11,27
2015,12,2015958,401.85,401.85,402.51,30
2016,1,2016042,402.56,402.56,402.29,27
2016,2,2016125,404.12,404.12,403.30,25
2016,3,2016208,404.87,404.87,403.37,28
2016,4,2016292,407.45,407.45,404.60,25
2016,5,2016375,407.72,407.72,404.23,29
2016,6,2016458,406.83,406.83,404.43,26
2016,7,2016542,404.41,404.41,404.05,28
2016,8,2016625,402.27,402.27,404.22,23
2016,9,2016708,401.05,401.05,404.68,24
2016,10,2016792,401.59,401.59,405.02,29
2016,11,2016875,403.55,403.55,405.56,27
2016,12,2016958,404.45,404.45,405.14,30
2017,1,2017042,406.17,406.17,405.87,26
2017,2,2017125,406.46,406.46,405.61,26
2017,3,2017208,407.22,407.22,405.74,23
2017,4,2017292,409.04,409.04,406.23,25
2017,5,2017375,409.69,409.69,406.19,27
2017,6,2017458,408.88,408.88,406.49,26
2017,7,2017542,407.12,407.12,406.78,28
2017,8,2017625,405.13,405.13,407.06,29
2017,9,2017708,403.37,403.37,406.98,26
2017,10,2017792,403.63,403.63,407.06,27
2017,11,2017875,405.12,405.12,407.13,26
2017,12,2017958,406.81,406.81,407.49,31
2018,1,2018042,407.96,407.96,407.66,29
2018,2,2018125,408.32,408.32,407.48,28
2018,3,2018208,409.41,409.41,407.93,30
2018,4,2018292,410.24,410.24,407.43,21
2018,5,2018375,411.24,411.24,407.74,24
2018,6,2018458,410.79,410.79,408.40,29
2018,7,2018542,408.71,408.71,408.36,27
2018,8,2018625,406.99,406.99,408.92,30
2018,9,2018708,405.51,405.51,409.12,29
2018,10,2018792,406.00,406.00,409.44,30
2018,11,2018875,408.02,408.02,410.03,24
2018,12,2018958,409.07,409.07,409.75,30
2019,1,2019042,410.83,410.83,410.53,26
2019,2,2019125,411.75,411.75,410.90,27
2019,3,2019208,411.97,411.97,410.49,28
2019,4,2019292,413.33,413.33,410.51,27
2019,5,2019375,414.64,414.64,411.15,28
2019,6,2019458,413.93,413.93,411.54,27
2019,7,2019542,411.74,411.74,411.39,25
2019,8,2019625,409.95,409.95,411.89,29
2019,9,2019708,408.54,408.54,412.15,29
2019,10,2019792,408.52,408.52,411.96,29
2019,11,2019875,410.25,410.25,412.26,26
2019,12,2019958,411.76,411.76,412.44,31
2020,1,2020042,413.39,413.39,413.09,29
2020,2,2020125,414.11,414.11,413.26,28
2020,3,2020208,414.51,414.51,413.02,26
2020,4,2020292,416.21,416.21,413.40,28
2020,5,2020375,417.07,417.07,413.58,27
2020,6,2020458,416.38,416.38,413.99,27
2020,7,2020542,414.38,414.38,414.04,31
